nm, A
2410.000000, 0.093168
2409.000000, 0.122088
2408.000000, 0.084258
2407.000000, 0.087695
2406.000000, 0.039040
2405.000000, 0.087722
2404.000000, 0.117076
2403.000000, 0.093862
2402.000000, 0.071478
2401.000000, 0.092846
2400.000000, 0.189329
2399.000000, 0.161311
2398.000000, 0.075371
2397.000000, 0.038521
2396.000000, 0.095899
2395.000000, 0.095080
2394.000000, 0.053662
2393.000000, 0.126083
2392.000000, 0.152466
2391.000000, 0.068380
2390.000000, 0.053280
2389.000000, 0.018278
2388.000000, 0.065060
2387.000000, 0.067911
2386.000000, 0.064043
2385.000000, 0.191522
2384.000000, 0.175266
2383.000000, 0.067026
2382.000000, 0.016552
2381.000000, 0.076633
2380.000000, 0.071182
2379.000000, 0.039276
2378.000000, 0.074784
2377.000000, 0.084957
2376.000000, 0.032521
2375.000000, 0.112899
2374.000000, 0.037766
2373.000000, 0.038577
2372.000000, 0.002084
2371.000000, 0.089802
2370.000000, 0.114052
2369.000000, 0.028977
2368.000000, 0.124715
2367.000000, 0.152707
2366.000000, 0.118690
2365.000000, 0.101634
2364.000000, 0.019225
2363.000000, 0.059916
2362.000000, 0.106061
2361.000000, 0.054154
2360.000000, 0.076400
2359.000000, 0.021937
2358.000000, 0.128897
2357.000000, 0.054137
2356.000000, 0.042212
2355.000000, 0.068280
2354.000000, 0.092024
2353.000000, 0.136534
2352.000000, 0.046534
2351.000000, 0.049672
2350.000000, 0.078475
2349.000000, 0.115531
2348.000000, 0.102393
2347.000000, 0.126191
2346.000000, 0.125174
2345.000000, 0.056823
2344.000000, -0.018797
2343.000000, 0.076026
2342.000000, 0.107722
2341.000000, 0.077890
2340.000000, 0.063494
2339.000000, 0.049077
2338.000000, 0.121868
2337.000000, 0.058683
2336.000000, 0.051026
2335.000000, 0.024421
2334.000000, 0.174380
2333.000000, 0.092327
2332.000000, 0.107523
2331.000000, 0.185722
2330.000000, 0.119172
2329.000000, 0.042425
2328.000000, 0.071349
2327.000000, 0.083158
2326.000000, 0.085015
2325.000000, 0.069313
2324.000000, 0.076999
2323.000000, 0.172190
2322.000000, 0.035068
2321.000000, 0.078334
2320.000000, 0.049938
2319.000000, 0.137196
2318.000000, 0.059129
2317.000000, 0.175743
2316.000000, 0.288646
2315.000000, 0.150364
2314.000000, 0.085866
2313.000000, -0.027211
2312.000000, 0.116624
2311.000000, -0.019504
2310.000000, 0.165897
2309.000000, 0.108544
2308.000000, 0.010921
2307.000000, 0.193859
2306.000000, 0.069815
2305.000000, 0.069087
2304.000000, 0.088023
2303.000000, 0.071748
2302.000000, 0.178471
2301.000000, 0.139074
2300.000000, 0.105942
2299.000000, 0.031631
2298.000000, -0.007495
2297.000000, 0.024813
2296.000000, 0.056612
2295.000000, 0.057769
2294.000000, 0.214046
2293.000000, 0.133756
2292.000000, 0.054920
2291.000000, -0.018771
2290.000000, 0.154281
2289.000000, 0.034291
2288.000000, 0.093884
2287.000000, 0.098132
2286.000000, 0.046343
2285.000000, 0.150592
2284.000000, 0.059363
2283.000000, 0.074717
2282.000000, -0.001148
2281.000000, 0.161878
2280.000000, 0.039021
2279.000000, 0.147605
2278.000000, 0.233273
2277.000000, 0.143460
2276.000000, 0.030538
2275.000000, 0.066652
2274.000000, 0.116879
2273.000000, 0.108376
2272.000000, 0.140243
2271.000000, 0.120741
2270.000000, 0.089598
2269.000000, 0.102614
2268.000000, 0.045101
2267.000000, 0.045491
2266.000000, -0.000963
2265.000000, 0.102796
2264.000000, 0.028070
2263.000000, 0.148911
2262.000000, 0.083196
2261.000000, 0.124205
2260.000000, 0.037656
2259.000000, 0.072359
2258.000000, 0.084898
2257.000000, -0.020350
2256.000000, 0.038776
2255.000000, 0.077352
2254.000000, 0.078032
2253.000000, 0.148706
2252.000000, 0.027304
2251.000000, 0.055694
2250.000000, -0.005086
2249.000000, 0.094933
2248.000000, 0.055757
2247.000000, 0.205614
2246.000000, 0.124327
